Year,Month,DO (mg/L),pH,Conductivity (uS/cm),BOD,Nitrates,Turbidity,TDS,Fluoride
2015,January,7.3,7.97,821.0,0.6,0.42,5.0,535.0,0.25
2015,Febraury,7.1,7.54,892.0,0.7,0.52,6.0,580.0,0.02
2015,March,7.2,7.32,912.0,1.4,0.58,5.0,757.0,0.91
2015,April,7.8,7.92,943.0,1.8,0.62,8.0,592.0,1.4
2015,May,7.5,7.28,896.0,1.8,0.56,6.0,542.0,1.28
2015,June,6.9,7.88,950.0,1.4,0.51,8.0,590.0,1.13
2015,July,7.2,7.93,949.0,0.8,0.46,6.0,600.0,0.93
2015,August,7.0,7.97,734.0,0.8,0.52,8.0,390.0,1.2
2015,September,7.3,7.48,421.0,0.5,2.42,8.0,302.0,1.52
2015,October,5.2,7.8,1241.0,1.8,2.05,8.0,810.0,0.93
2015,November,6.4,8.47,850.0,1.6,0.19,6.0,560.0,0.28
2015,December,6.8,7.58,1357.0,1.4,0.28,5.0,880.0,0.36
2016,January,7.1,7.53,1266.0,0.8,0.31,5.0,830.0,0.32
2016,Febraury,7.094623655913978,7.759569892473117,990.7204301075269,1.9967741935483874,1.2726881720430108,2.7113978494623656,721.2150537634409,0.8317204301075269
2016,March,7.094623655913978,7.759569892473117,990.7204301075269,1.9967741935483874,1.2726881720430108,2.7113978494623656,721.2150537634409,0.8317204301075269
2016,April,7.094623655913978,7.759569892473117,990.7204301075269,1.9967741935483874,1.2726881720430108,2.7113978494623656,721.2150537634409,0.8317204301075269
2016,May,7.094623655913978,7.759569892473117,990.7204301075269,1.9967741935483874,1.2726881720430108,2.7113978494623656,721.2150537634409,0.8317204301075269
2016,June,6.8,7.96,1440.0,0.7,1.29,2.0,865.0,1.29
2016,July,6.6,8.1,1323.0,0.6,1.45,0.75,740.0,0.54
2016,August,7.1,7.07,711.0,0.6,2.32,4.87,420.0,0.36
2016,September,6.5,6.5,1103.0,0.7,2.46,0.65,620.0,0.21
2016,October,7.1,7.18,803.0,0.6,2.2,0.7,480.0,0.33
2016,November,7.0,6.69,1202.0,2.1,2.15,0.83,780.0,0.46
2016,December,6.4,7.65,467.0,1.1,0.85,1.09,320.0,0.44
2017,January,6.5,7.81,768.0,1.1,0.96,1.31,430.0,0.49
2017,Febraury,6.5,8.21,1211.0,1.0,1.15,1.87,710.0,0.6
2017,March,6.8,7.95,1238.0,1.4,1.55,2.23,800.0,0.48
2017,April,6.5,8.37,1289.0,1.8,1.2,1.52,740.0,1.19
2017,May,6.5,7.39,1080.0,2.6,1.1,1.78,630.0,0.83
2017,June,6.9,7.84,1073.0,2.2,1.78,1.51,610.0,1.15
2017,July,6.9,7.84,1073.0,2.2,1.7,1.51,610.0,1.15
2017,August,6.8,7.77,1183.0,2.3,2.48,0.76,710.0,1.08
2017,September,7.1,7.56,1099.0,2.1,1.77,0.8,690.0,0.68
2017,October,7.1,7.64,924.0,1.8,1.37,0.55,610.0,1.0
2017,November,6.8,7.55,1284.0,2.1,1.26,0.65,790.0,0.9
2017,December,6.8,7.66,1158.0,2.2,1.09,1.57,740.0,0.85
2018,January,7.0,7.76,1433.0,2.1,1.62,1.61,920.0,0.72
2018,Febraury,6.8,7.62,1140.0,2.1,1.62,1.88,720.0,0.82
2018,March,6.4,7.24,1284.0,2.4,2.6,1.2,790.0,0.96
2018,April,6.8,8.05,1013.0,2.2,1.04,0.65,630.0,0.82
2018,May,6.9,7.3,1170.0,2.2,2.14,1.18,720.0,0.76
2018,June,7.0,7.72,1116.0,2.4,1.93,1.24,640.0,0.68
2018,July,7.2,7.86,984.0,2.0,1.48,1.18,648.0,0.58
2018,August,7.5,7.7,586.0,1.8,1.2,0.98,384.0,0.48
2018,September,7.8,8.01,958.0,1.8,1.53,1.26,615.0,0.46
2018,October,7.3,8.4,1009.0,1.4,1.27,1.3,650.0,0.5
2018,November,7.8,8.5,871.0,1.6,0.94,1.22,560.0,0.63
2018,December,6.9,8.2,924.0,1.2,0.86,0.93,596.0,0.5
2019,January,7.1,7.78,1138.0,1.2,0.6,0.83,710.0,0.48
2019,Febraury,7.1,7.69,1100.0,1.4,0.82,0.84,700.0,0.63
2019,March,6.9,7.53,1121.0,1.3,0.7,0.82,650.0,0.48
2019,April,7.5,7.94,745.0,1.6,1.16,0.77,456.0,0.68
2019,May,6.9,7.24,1121.0,2.2,2.1,1.08,771.0,0.51
2019,June,7.1,7.44,1211.0,2.3,1.06,0.95,475.0,0.45
2019,July,7.1,7.5,750.0,2.5,1.08,1.8,619.0,0.74
2019,August,6.9,7.86,920.0,2.8,1.47,1.21,582.0,1.1
2019,September,7.0,7.77,1074.0,2.2,1.78,1.51,610.0,1.15
2019,October,7.1,7.74,1071.0,2.0,1.9,1.51,662.0,1.15
2019,November,7.2,7.86,689.0,1.4,1.43,1.22,729.0,0.72
2019,December,7.3,8.15,1002.0,2.6,1.77,1.33,577.0,0.99
2020,January,7.5,7.81,1147.0,1.8,1.68,0.84,722.0,1.08
2020,Febraury,7.6,7.86,909.0,2.0,1.42,0.92,572.0,0.94
2020,March,7.094623655913978,7.759569892473117,990.7204301075269,1.9967741935483874,1.2726881720430108,2.7113978494623656,721.2150537634409,0.8317204301075269
2020,April,8.0,8.0,828.0,1.2,0.7,0.8,520.0,1.0
2020,May,7.4,7.67,904.0,2.2,0.83,1.02,568.0,1.11
2020,June,7.2,7.84,886.0,1.8,0.78,0.99,574.0,0.68
2020,July,7.3,7.88,920.0,2.2,0.64,1.02,580.0,0.6
2020,August,7.1,8.36,1012.0,2.0,0.74,1.26,618.0,0.74
2020,September,7.3,8.03,920.0,2.2,0.88,1.34,580.0,0.91
2020,October,7.2,7.86,930.0,2.4,0.99,1.4,588.0,0.89
2020,November,7.3,8.15,1400.0,2.2,1.34,1.4,868.0,1.26
2020,December,7.1,8.11,916.0,2.6,1.22,1.22,570.0,0.96
2021,January,6.9,7.13,1002.0,2.8,1.3,2.0,620.0,1.08
2021,Febraury,7.2,7.28,1020.0,2.8,1.42,3.0,648.0,1.1
2021,March,7.1,8.15,929.0,2.6,1.34,3.0,586.0,0.99
2021,April,7.3,7.64,954.0,2.8,1.4,3.0,580.0,0.92
2021,May,7.4,7.8,1020.0,2.8,1.36,3.0,642.0,1.1
2021,June,7.2,7.86,998.0,2.8,1.4,3.0,628.0,1.08
2021,July,7.1,8.29,926.0,2.6,1.47,2.5,583.0,1.22
2021,August,7.6,7.89,726.0,2.8,1.3,3.0,456.0,1.16
2021,September,7.4,7.04,708.0,2.6,1.18,4.0,436.0,1.12
2021,October,7.6,7.5,750.0,2.4,1.06,3.0,460.0,0.96
2021,November,7.5,7.81,899.0,2.8,1.2,4.0,564.0,1.02
2021,December,7.4,7.91,1005.0,2.8,1.23,5.0,596.0,1.11
2022,January,7.3,8.27,1169.0,2.8,1.22,4.0,748.0,1.14
2022,Febraury,7.1,7.4,1152.0,2.8,1.3,3.0,724.0,1.12
2022,March,6.9,7.5,1136.0,2.8,1.27,4.0,710.0,0.99
2022,April,6.8,7.79,980.0,2.7,1.13,4.0,598.0,0.89
2022,May,6.7,7.96,1050.0,2.9,1.18,4.0,660.0,0.94
2022,June,6.8,7.94,936.0,2.7,1.23,5.0,580.0,0.89
2022,July,7.2,7.74,778.0,2.6,1.04,4.0,474.0,0.82
2022,August,7.1,7.62,790.0,2.8,1.16,4.0,490.0,0.86
2022,September,7.3,7.88,840.0,2.9,1.26,4.0,520.0,0.91
2022,October,7.6,7.78,880.0,2.8,1.34,5.0,548.0,0.94
2022,November,7.5,7.8,864.0,2.9,1.38,5.0,526.0,0.91
2022,December,7.6,7.96,880.0,2.7,1.44,5.0,10099.0,0.56
2023,January,7.5,7.93,896.0,2.9,1.38,5.0,550.0,0.9
2023,Febraury,7.6,7.93,986.0,2.9,1.48,6.0,610.0,0.9
